participant,date,n_fixes,coverage_h,total_distance_km_raw,total_distance_km_filtered,mean_speed_kmh_weighted,time_at_home_h,radius_of_gyration_m,screen_on_h,n_screen_sessions,n_power_events,n_powerdowns,session_max_s,session_min_s,session_mean_s,session_std_s,nocturnal_screen_ons,reported_home_h
bn4j8yj9,2022-03-23,4301.0,4.381990277777778,21.116755911264427,6.723295535855501,1.5343017920306887,4.222792777777777,1026.9760920990336,2.5780597222222226,62.0,128.0,0.0,1835.62,2.07,149.69379032258067,320.8716607619558,0.0,
bn4j8yj9,2022-03-24,5074.0,5.752415,32.148726476902404,10.046819289746171,1.7465393734190198,5.406063611111111,1120.0467194078099,2.481391111111111,45.0,97.0,0.0,1501.022,2.9050000000000002,198.51128888888888,331.56258252920725,0.0,
bn4j8yj9,2022-03-25,2568.0,2.010842777777778,13.353604440557277,3.21230119292325,1.5974899820229742,1.7665258333333334,1130.6932425921516,3.2591894444444454,95.0,196.0,0.0,2038.966,0.313,123.50612631578952,261.4854660278318,0.0,
bn4j8yj9,2022-03-26,1986.0,2.4665925,4.945571119383295,2.9787918993066205,1.2076546487944888,1.7328719444444445,422.99224315766713,0.7323277777777778,32.0,65.0,0.0,739.558,2.349,82.386875,144.08510896168278,0.0,20.0
bn4j8yj9,2022-03-27,6698.0,6.206841666666666,17.259519943232466,6.413787593258475,1.03334158299916,5.904685833333333,394.36151523610266,1.5115469444444447,36.0,83.0,0.0,2063.668,3.218,151.1546944444445,360.3910253791266,0.0,
bn4j8yj9,2022-03-28,3107.0,3.100285,5.563948759270488,2.929782072119603,0.9450041115960639,3.0215447222222225,200.43088573046086,1.1522180555555555,33.0,71.0,0.0,897.459,2.89,125.69651515151514,193.30631315513875,0.0,21.0
gq36edfi,2022-03-21,,,,,,,,0.0,0.0,1.0,0.0,,,,,0.0,
gq36edfi,2022-03-22,1683.0,3.862496111111111,13.99142737311033,5.689136768859977,1.4729171512934938,2.1958844444444443,1064.8795517510998,0.3813030555555556,18.0,38.0,0.0,647.046,1.9769999999999999,76.26061111111113,153.766177902049,0.0,21.0
gq36edfi,2022-03-23,2376.0,2.4233975,19.2715172951318,5.987808026120013,2.4708319729305708,1.166323611111111,1431.9584647491406,0.22445916666666665,13.0,31.0,0.0,284.652,2.19,62.157923076923076,92.1671665322143,0.0,
gq36edfi,2022-03-24,1606.0,4.564015833333334,6.099824761006878,1.8024842329819635,0.39493382556158163,3.6458547222222224,731.3673018701705,0.3461836111111111,16.0,37.0,0.0,450.966,3.086,77.8913125,126.39206707000707,0.0,16.0
