participant,sigma_m,seed,time_at_home_h,time_at_home_h_ratio,radius_of_gyration_m,radius_of_gyration_m_ratio,total_distance_km,total_distance_km_ratio,mean_speed_kmh,mean_speed_kmh_ratio,location_entropy,location_entropy_ratio,n_significant_places,n_significant_places_ratio,home_displacement_m
3si9xdvl,0.0,0,1.3084258680555556,1.0,1380.495926783747,1.0,5.181133645490082,1.0,2.3956665998510793,1.0,1.8178690255971601,1.0,31.0,1.0,0.0
3si9xdvl,10.0,0,1.3084257291666668,0.9999998938503952,1382.342538045322,1.001337643397382,32.10910017382789,6.197311702580238,15.562677301830657,6.496178267375799,1.7792694820684236,0.97876659815134,30.0,0.967741935483871,0.27645854541871884
3si9xdvl,10.0,1,1.3084080555555555,0.999986386313176,1383.4978553869246,1.0021745291274935,32.366861534769996,6.247061695261178,16.404214161196723,6.847452881054672,1.784526019909957,0.9816581914220965,30.0,0.967741935483871,0.11079998853859067
3si9xdvl,10.0,2,1.308459826388889,1.0000259535783893,1383.9008523261455,1.0024664509878933,32.509901331883526,6.274669513723463,16.698343868326745,6.9702286075052164,1.7665561331866524,0.9717730531254023,28.0,0.9032258064516129,0.037318260396406816
3si9xdvl,10.0,3,1.3084081944444443,0.9999864924627808,1383.0580394745893,1.0018559364364163,32.25776796336813,6.226005768341241,16.112471817844067,6.725673688837027,1.8261879762918594,1.0045762101546158,34.0,1.096774193548387,0.08829754800871961
3si9xdvl,10.0,4,1.308460486111111,1.0000264577890126,1382.6540234981994,1.0015632764085587,32.06641446715229,6.189073021705299,15.714186333809913,6.559421221127659,1.7991265441376696,0.989689861483099,30.0,0.967741935483871,0.1342361372238912
3si9xdvl,25.0,0,1.3073454513888887,0.999174262223757,1387.144693332827,1.004816215984476,45.17298258143486,8.718744906485028,24.216917116794,10.108634113903573,1.6867737904245763,0.9278852143214664,28.0,0.9032258064516129,0.33151384863625627
3si9xdvl,25.0,1,1.3073755208333333,0.9991972436132104,1389.558750637159,1.0065649044503349,45.001222473275156,8.685593839573405,26.087448669861807,10.889432056816032,1.6726407230204736,0.920110689751711,26.0,0.8387096774193549,0.47335481407323377
3si9xdvl,25.0,2,1.294565486111111,0.9894068267199254,1389.4120604963832,1.0064586454328834,45.08891270339488,8.702518751401545,26.162988458262852,10.920963902025937,1.8409540458872309,1.0126989458343885,29.0,0.9354838709677419,0.9457627605994546
3si9xdvl,25.0,3,1.3075767013888888,0.999351001315857,1387.84738631737,1.0053252308760883,45.44108744688941,8.770491277800488,24.973136525902582,10.424295487299851,1.747465102412894,0.9612711795003279,29.0,0.9354838709677419,0.7107052865512713
3si9xdvl,25.0,4,1.3072392708333334,0.9990931108508382,1387.1522000837087,1.0048216537048895,45.3657906877308,8.755958404435187,24.330276039158854,10.155952435397849,1.847376169843932,1.0162317217749386,29.0,0.9354838709677419,0.5004369183457276
3si9xdvl,50.0,0,1.1312964583333334,0.8646240386660551,1391.7270958058493,1.0081356046071561,43.74332347121194,8.442809327894546,24.901651351075458,10.394456120323007,1.6945917147746212,0.9321858125713743,24.0,0.7741935483870968,0.32386772189607077
3si9xdvl,50.0,1,1.0934940625,0.8357325311253861,1398.9069148975932,1.013336503032457,43.86163983866622,8.465645327803037,31.291684428317772,13.061785989028248,1.719262619562115,0.9457571449611705,25.0,0.8064516129032258,0.9284487286597037
3si9xdvl,50.0,2,1.134334652777778,0.8669460612724712,1400.308067390877,1.0143514661816408,44.06029293254966,8.503986954843743,31.762763849709273,13.258424127833033,1.6365602458878046,0.9002630128153504,25.0,0.8064516129032258,0.572366669777001
3si9xdvl,50.0,3,1.1498838541666667,0.8788299606728983,1392.0687378136522,1.0083830823440871,43.75759580775977,8.445564002358552,25.9527017358468,10.833185943928962,1.6886992808069432,0.9289444162525485,24.0,0.7741935483870968,1.0457195874866567
3si9xdvl,50.0,4,1.141869236111111,0.8727045711867776,1396.0626935943187,1.0112762135030986,44.05865665109425,8.50367113950923,28.600397829127555,11.938388184276322,1.6942684193594975,0.9320079694976592,23.0,0.7419354838709677,0.626641297507277
3si9xdvl,100.0,0,0.5896579513888889,0.45066210152599345,1411.4293214702707,1.02240745089237,57.029054282827246,11.007061038170322,39.99096625365169,16.693043287466473,1.607964617215884,0.8845327108688021,19.0,0.6129032258064516,1.3262343534737857
3si9xdvl,100.0,1,0.5060260416666666,0.3867441434940973,1406.2348122278709,1.0186446659818038,57.30347798110133,11.060026994474685,36.13370738494862,15.082944925305878,1.5339146577004665,0.8437982253405654,20.0,0.6451612903225806,6.02361852311084
3si9xdvl,100.0,2,0.5033892708333333,0.3847289197831416,1413.2058968496626,1.023694361882054,56.72340934576031,10.948069134471218,40.20499466879354,16.782383104265335,1.6265329567868538,0.8947470548669184,22.0,0.7096774193548387,3.7952233473572967
3si9xdvl,100.0,3,0.5975944791666667,0.4567278083967788,1409.9964592533213,1.0213695179371547,56.80715378013761,10.964232476339498,37.411410390371124,15.616284166042433,1.4587499626673537,0.8024505297834437,21.0,0.6774193548387096,3.001644140337265
3si9xdvl,100.0,4,0.6025153819444444,0.4604887419719385,1417.0684445015806,1.0264923039671978,56.02054329217497,10.812410396118242,42.838498442335776,17.881661181484404,1.618163790299104,0.8901432212739011,20.0,0.6451612903225806,2.5724716386336177
3si9xdvl,200.0,0,0.15737440972222222,0.12027766613640516,1466.0362840950152,1.0619634985164776,41.154089738056825,7.943066624787686,32.4359787521388,13.539437730673836,1.35661620975666,0.7462673001488757,23.0,0.7419354838709677,10.63308883130036
3si9xdvl,200.0,1,0.1390069097222222,0.10623980549146403,1472.8398538029378,1.0668918504050438,42.82680066033979,8.265913136137375,33.46416833226882,13.968624989115362,1.3367983276592235,0.7353655895094491,19.0,0.6129032258064516,4.025517693483857
3si9xdvl,200.0,2,0.12923159722222222,0.09876875746447338,1457.5596281163068,1.055823200805888,41.763043918844176,8.060599624793856,47.44706748193536,19.80537170108929,1.2957323847195898,0.7127754345745282,19.0,0.6129032258064516,2.397764175376454
3si9xdvl,200.0,3,0.21627538194444446,0.16529433361467402,1456.0421216688303,1.0547239534861137,41.59285725559362,8.027752245263569,43.635045685562375,18.214156213671316,1.4494914729599122,0.7973574842575702,24.0,0.7741935483870968,8.187549064020557
3si9xdvl,200.0,4,0.15420819444444445,0.11785780013170512,1442.2311065510582,1.0447195667655034,41.214744984446355,7.954773569742161,35.652460003375865,14.882062472963522,1.3251759207303215,0.7289721658000132,24.0,0.7741935483870968,1.93118806766799
3si9xdvl,400.0,0,0.03753555555555556,0.028687567612322537,1555.4118190856998,1.1267051129295749,28.41322768730371,5.483978918790486,47.29845528774441,19.74333794639229,1.3569686549735849,0.7464611783722032,48.0,1.5483870967741935,7.798564459232239
3si9xdvl,400.0,1,0.045135625,0.034496127065323005,1579.2496014665403,1.1439726628863336,26.89189141864788,5.190348919498714,24.754317849747526,10.332956118053454,1.3054598908848836,0.7181264835380795,44.0,1.4193548387096775,6.716259830245417
3si9xdvl,400.0,2,0.05520715277777777,0.042193565662088914,1563.0720182093773,1.1322539877759672,28.570567440823098,5.514346742569042,26.840963702173845,11.203964568292744,1.3235263574021787,0.7280647498613975,45.0,1.4516129032258065,8.481096551529268
3si9xdvl,400.0,3,0.04830118055555555,0.036915488859399936,1593.8209912926584,1.1545278478335768,27.811221652364853,5.367786966192839,26.065658283408045,10.880336305990305,1.3468969079741955,0.7409207643723107,46.0,1.4838709677419355,11.530662202362286
3si9xdvl,400.0,4,0.06179597222222223,0.0472292498420693,1533.4307032009733,1.1107824901544843,26.802337064966334,5.173064216997457,30.138184998084554,12.580291848606153,1.387617171774286,0.7633207630667789,55.0,1.7741935483870968,9.94290102382696
3si9xdvl,800.0,0,0.023908680555555558,0.018272858355426826,1924.7798484490443,1.3942669522635676,29.91621814510714,5.774068030680451,29.801445979588966,12.439730128324825,1.3828129704174963,0.760677997669964,76.0,2.4516129032258065,19.75700834517738
